cellIndex,gene_name,unsplice,splice,unsplice_predict,splice_predict,alpha,beta,gamma,loss,cellID,clusters,embedding1,embedding2
153,gene_A,1.0592495,4.3919296,6.074309,6.419828,1.9867265,3.2363808,3.3298757,0.062166654,153,0,4.391929709095163,0.026367320642938313
154,gene_A,1.196897,4.965281,6.4457674,7.2572093,2.0892875,3.2371004,3.3288748,0.062166654,154,0,4.965280947086824,0.0
155,gene_A,1.4176252,4.9405036,7.0424037,7.6901307,2.2536805,3.2291286,3.3211663,0.062166654,155,0,4.940503744824054,0.00259633838417872
156,gene_A,1.3911124,5.1101813,6.9557953,7.798739,2.2284424,3.2314844,3.323147,0.062166654,156,0,5.110181287119719,0.020283483426078858
157,gene_A,1.4393573,4.903399,7.1049557,7.6992407,2.2712631,3.2280455,3.320186,0.062166654,157,0,4.903399100648827,0.016906214621434695
158,gene_A,1.6014794,4.807637,7.4529586,7.9415994,2.3583272,3.222364,3.314741,0.062166654,158,0,4.807637039054174,0.0270546236603231
159,gene_A,1.4207621,5.260981,7.023286,8.005169,2.2458687,3.2316828,3.3230817,0.062166654,159,0,5.260981133952943,0.0695305645199345
160,gene_A,1.457283,5.8006177,7.075158,8.600211,2.2558393,3.2348516,3.3252218,0.062166654,160,0,5.800618297108144,0.01994703205558611
161,gene_A,1.2325109,6.358534,6.4215446,8.670757,2.0714362,3.2473137,3.3364289,0.062166654,161,0,6.358533833883692,0.021550616469074246
162,gene_A,1.1826428,6.5554667,6.2521496,8.75596,2.0214279,3.2503605,3.3393452,0.062166654,162,0,6.555466887133999,0.0
163,gene_A,1.3298206,6.7177763,6.656328,9.218763,2.1335826,3.247019,3.335382,0.062166654,163,0,6.717776060777116,0.00721339688981367
164,gene_A,1.3821082,6.6012783,6.804952,9.215264,2.175215,3.2441943,3.3328583,0.062166654,164,0,6.601278424798398,0.0012725254150101548
165,gene_A,1.2358396,6.89406,6.380844,9.192496,2.0555935,3.2515378,3.3396785,0.062166654,165,0,6.894060151655525,0.002914812621452324
166,gene_A,1.2177237,6.9370346,6.3219924,9.195958,2.0384157,3.2524135,3.3405585,0.062166654,166,0,6.937034523761748,0.013940604403602438
167,gene_A,0.876279,6.7167263,5.1875577,8.270246,1.7048903,3.2633648,3.3540797,0.062166654,167,0,6.716726179396693,0.0
168,gene_A,0.6430708,6.845127,4.3214984,7.9041657,1.4431204,3.277971,3.367458,0.062166654,168,0,6.845127095668582,0.0007136365894919617
169,gene_A,0.6358947,7.5473685,4.174613,8.562452,1.3904597,3.2865486,3.3736515,0.062166654,169,0,7.54736856241279,0.0027141129426315447
170,gene_A,0.68282354,7.929237,4.3036604,9.027244,1.4264021,3.2869337,3.374203,0.062166654,170,0,7.929237041086876,0.011470028958107378
171,gene_A,0.711591,9.049181,4.237516,10.161818,1.3945853,3.29721,3.3818512,0.062166654,171,0,9.049181011083203,0.0
172,gene_A,0.8347071,9.21853,4.704334,10.583798,1.536477,3.2904193,3.376304,0.062166654,172,0,9.218529314000776,0.0
173,gene_A,0.6907992,8.902936,4.1739492,9.97779,1.37628,3.297354,3.3818142,0.062166654,173,0,8.902935816885323,0.00012064519558747714
174,gene_A,0.7671164,8.995062,4.4736156,10.226878,1.4680581,3.292312,3.378276,0.062166654,174,0,8.995062044220361,0.002374236137599727
175,gene_A,0.6502817,8.533028,4.0711174,9.537724,1.3484209,3.2965953,3.3810403,0.062166654,175,0,8.53302781781389,0.01259516367805975
176,gene_A,0.82115036,9.031747,4.6802144,10.37601,1.530964,3.2892978,3.375539,0.062166654,176,0,9.031747322442207,0.011721902385502192
177,gene_A,1.1565182,8.62159,5.9195905,10.687287,1.9051183,3.2694583,3.3551192,0.062166654,177,0,8.621589544067863,0.02570844856064001
178,gene_A,1.0986518,9.390753,5.615902,11.305032,1.8073694,3.2791052,3.3638217,0.062166654,178,0,9.390753242045713,0.022760908172135875
179,gene_A,1.028958,10.000816,5.302583,11.744143,1.7090157,3.2877588,3.3718674,0.062166654,179,0,10.000816099374996,0.006856794910850242
180,gene_A,1.0515939,10.114062,5.3651423,11.90067,1.7264705,3.2878888,3.371647,0.062166654,180,0,10.114063528433997,0.0007316857489991432
181,gene_A,0.8347656,9.555226,4.6547575,10.9070015,1.5181006,3.2939925,3.3791108,0.062166654,181,0,9.555225993188243,0.007204473118714609
182,gene_A,1.0921588,9.246755,5.611823,11.15302,1.8074884,3.278006,3.3630135,0.062166654,182,0,9.246755104315227,0.0
183,gene_A,1.0823089,10.7042885,5.3987384,12.532357,1.7312057,3.292155,3.374648,0.062166654,183,0,10.70428891589034,0.00010833961078753518
184,gene_A,1.285408,10.640704,6.11721,12.899279,1.9459431,3.283204,3.364501,0.062166654,184,0,10.64070368447355,0.0
185,gene_A,1.1035409,11.749039,5.34783,13.580598,1.7071025,3.3010688,3.3816195,0.062166654,185,0,11.74903825367328,8.651881089083885e-05
186,gene_A,1.040569,11.748632,5.122549,13.447008,1.6395577,3.3042717,3.3850648,0.062166654,186,0,11.748632725060638,0.0013564014636729064
