gene_name,epoch,loss
Tox2,19,0.07071247
Tox2,29,0.060910746
Tox2,39,0.081491075
Tox2,49,0.072291434
Tox2,59,0.06316357
Trh,9,0.13820119
Trh,19,0.13010845
Trh,29,0.11558604
Trh,39,0.12607639
Trh,49,0.12210797
Trh,59,0.12737401
Trhr,9,0.23832665
Trhr,19,0.31274337
Trhr,29,0.2816983
Trhr,39,0.36447346
Unc5c,9,0.13692863
Unc5c,19,0.13536388
Unc5c,29,0.14180449
Unc5c,39,0.115457945
Unc5c,49,0.10764488
Unc5c,59,0.089922495
Unc5c,69,0.075405896
Unc5c,79,0.08238953
Unc5c,89,0.07203777
Unc5c,99,0.07364448
Unc5c,109,0.06745391
Unc5c,119,0.086828284
Unc5c,129,0.07579632
Unc5c,139,0.07277482
Veph1,9,0.12760977
Veph1,19,0.16504173
Veph1,29,0.15330704
Veph1,39,0.11756428
Veph1,49,0.18199915
Veph1,59,0.11421827
Veph1,69,0.1167336
Veph1,79,0.13097028
Veph1,89,0.12441781
Wnt1,9,0.09038724
Wnt1,19,0.07532889
Wnt1,29,0.112298116
Wnt1,39,0.1005899
Wnt1,49,0.11601054
Wnt3,9,0.09425436
Wnt3,19,0.05263943
Wnt3,29,0.067722864
Wnt3,39,0.06523507
Wnt3,49,0.075396866
Wnt3a,9,0.09382282
Wnt3a,19,0.10704646
Wnt3a,29,0.101957195
Wnt3a,39,0.09779871
Wnt4,9,0.29057592
Wnt4,19,0.16242154
Wnt4,29,0.20882365
Wnt4,39,0.19129807
Wnt4,49,0.12335461
Wnt4,59,0.116489775
Wnt4,69,0.17376699
Wnt4,79,0.14292996
Wnt4,89,0.10735306
Wnt4,99,0.19357634
Wnt4,109,0.10921423
Wnt4,119,0.1265336
Wnt5a,9,0.072292574
Wnt5a,19,0.06969456
Wnt5a,29,0.0633128
Wnt5a,39,0.068367384
Wnt5a,49,0.057357676
Wnt5a,59,0.059360527
Wnt5a,69,0.05398139
Wnt5a,79,0.06147222
Wnt5a,89,0.058391202
Wnt5a,99,0.061176248
Wnt5b,9,0.12775663
Wnt5b,19,0.11736484
Wnt5b,29,0.09926063
Wnt5b,39,0.11460323
Wnt5b,49,0.12639332
Wnt5b,59,0.11687515
Wnt7b,9,0.056174092
Wnt7b,19,0.054440767
Wnt7b,29,0.057732366
Wnt7b,39,0.06758062
Wnt7b,49,0.06354305
Wnt8b,9,0.08924001
Wnt8b,19,0.09587963
Wnt8b,29,0.08280435
Wnt8b,39,0.104114965
Wnt8b,49,0.08843319
Wnt8b,59,0.09267583
Wnt9a,9,0.21111703
Wnt9a,19,0.1942987
Wnt9a,29,0.17250298
Wnt9a,39,0.25175202
Wnt9a,49,0.24183491
Wnt9a,59,0.20447151
